Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2877.25,31,98.03921509,46.66666794,,,,,,,,
2695.25,31,96.47058868,16.47058868,,,,,,,,
2497.5,31,90.19608307,35.29411697,,,,,,,,
2449.0,31,97.2549057,45.88235474,,,,,,,,
2542.0,31,97.2549057,49.41176605,,,,,,,,
2545.25,31,96.47058868,45.09804153,,,,,,,,
2587.5,31,93.72549438,16.47058868,,,,,,,,
2536.5,31,94.50980377,38.4313736,,,,,,,,
2602.25,31,95.29412079,40.39215851,,,,,,,,
2594.5,31,94.50980377,35.29411697,,,,,,,,
2717.0,31,95.29412079,45.09804153,,,,,,,,
2007.0,32,82.74510193,16.47058868,,,,,,,,
2325.75,32,87.84313965,26.27450943,,,,,,,,
2086.5,32,95.29412079,34.50980377,,,,,,,,
2135.0,32,95.29412079,34.90196228,,,,,,,,
2203.0,31,94.50980377,37.25490189,,,,,,,,
2303.0,31,90.58823395,15.29411793,,,,,,,,
2171.75,31,90.19608307,29.01960754,,,,,,,,
2473.25,31,81.96078491,27.05882454,,,,,,,,
2253.0,31,82.35294342,27.05882454,,,,,,,,
2533.5,31,81.17647552,27.05882454,,,,,,,,
2324.0,31,84.31372833,28.23529434,,,,,,,,
2417.0,31,92.54901886,29.80392265,,,,,,,,
2578.75,31,95.6862793,36.47058868,,,,,,,,
2740.5,31,96.07843018,38.82352829,,,,,,,,
2324.0,31,81.5686264,30.98039246,,,,,,,,
2131.25,31,81.96078491,26.66666794,,,,,,,,
2110.0,31,88.62744904,29.80392265,,,,,,,,
2332.0,31,94.11764526,36.07843018,,,,,,,,
2500.0,31,94.50980377,38.03921509,,,,,,,,
2678.0,31,96.07843018,38.4313736,,,,,,,,
2915.5,31,95.6862793,40.0,,,,,,,,
2192.75,31,89.80392456,30.58823586,,,,,,,,
2367.0,31,87.05882263,30.19607925,,,,,,,,
2377.25,31,86.27451324,26.27450943,,,,,,,,
2152.25,31,88.23529816,29.41176605,,,,,,,,
2262.5,31,89.80392456,30.98039246,,,,,,,,
2290.5,31,88.23529816,30.19607925,,,,,,,,
2201.5,31,83.92156982,27.84313774,,,,,,,,
2034.25,31,93.33333588,34.50980377,,,,,,,,
2475.0,31,91.37255096,34.11764908,,,,,,,,
2496.0,31,85.49019623,16.07843208,,,,,,,,
2195.25,31,87.45098114,29.41176605,,,,,,,,
2228.0,31,87.84313965,29.41176605,,,,,,,,
2143.75,31,84.70588684,26.66666794,,,,,,,,
1725.0,31,82.74510193,24.70588303,,,,,,,,
1754.5,31,91.37255096,28.62745094,,,,,,,,
1791.25,31,88.62744904,27.84313774,,,,,,,,
1807.0,31,90.98039246,29.41176605,,,,,,,,
1859.25,31,90.98039246,29.41176605,,,,,,,,
1925.75,31,81.5686264,25.88235283,,,,,,,,
2310.0,31,83.13725281,27.84313774,,,,,,,,
2812.5,32,81.5686264,28.62745094,,,,,,,,
2320.25,32,92.94117737,31.76470566,,,,,,,,
2511.5,32,95.29412079,38.82352829,,,,,,,,
2783.5,32,95.29412079,38.4313736,,,,,,,,
2996.75,33,94.90196228,38.4313736,,,,,,,,
2571.75,32,88.62744904,27.45098114,,,,,,,,
1740.5,32,91.37255096,28.62745094,,,,,,,,
2389.75,32,94.90196228,35.29411697,,,,,,,,
2420.25,32,93.72549438,36.86274719,,,,,,,,
2452.25,32,93.33333588,37.25490189,,,,,,,,
2484.25,31,94.50980377,38.03921509,,,,,,,,
2426.5,31,94.11764526,36.47058868,,,,,,,,
1960.0,31,80.39215851,25.09803963,,,,,,,,
1871.0,31,84.31372833,27.45098114,,,,,,,,
2455.25,31,92.54901886,34.50980377,,,,,,,,
2139.75,32,84.70588684,29.80392265,,,,,,,,
2365.5,32,93.72549438,36.47058868,,,,,,,,
2457.0,32,92.15686798,36.47058868,,,,,,,,
2697.5,32,92.54901886,34.90196228,,,,,,,,
1940.5,33,83.52941132,26.66666794,,,,,,,,
2082.75,32,87.05882263,28.62745094,,,,,,,,
2108.5,32,85.09803772,27.84313774,,,,,,,,
1974.0,32,91.37255096,32.15686417,,,,,,,,
2065.5,32,94.50980377,34.50980377,,,,,,,,
2178.75,32,95.29412079,36.86274719,,,,,,,,
2215.5,32,95.6862793,37.64706039,,,,,,,,
2380.25,32,94.90196228,37.64706039,,,,,,,,
2403.0,31,92.94117737,34.50980377,,,,,,,,
2431.25,31,82.35294342,14.90196133,,,,,,,,
2275.0,32,92.15686798,33.72549057,,,,,,,,
2420.25,32,92.94117737,35.68627548,,,,,,,,
2501.5,32,90.19608307,33.33333206,,,,,,,,
2359.25,32,85.49019623,28.62745094,,,,,,,,
2482.75,33,90.58823395,32.94117737,,,,,,,,
2609.25,33,91.76470947,34.50980377,,,,,,,,
2271.0,32,82.35294342,27.84313774,,,,,,,,
2441.25,32,83.92156982,28.62745094,,,,,,,,
1724.0,32,80.39215851,25.49019623,,,,,,,,
2152.25,32,81.17647552,26.66666794,,,,,,,,
2141.25,32,80.78431702,25.88235283,,,,,,,,
2036.5,32,84.31372833,27.05882454,,,,,,,,
2079.5,32,82.74510193,26.66666794,,,,,,,,
2189.0,32,85.88235474,27.84313774,,,,,,,,
2203.0,32,81.5686264,30.98039246,,,,,,,,
2864.0,32,87.05882263,30.98039246,,,,,,,,
2767.0,32,85.88235474,27.45098114,,,,,,,,
2264.0,32,80.78431702,28.23529434,,,,,,,,
1996.0,32,81.17647552,25.88235283,,,,,,,,
2052.25,32,81.17647552,25.88235283,,,,,,,,
