Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
2559.25,30,96.47058868,41.17647171,,,,,,,,
2587.5,30,96.47058868,43.13725662,,,,,,,,
2511.5,30,94.11764526,36.47058868,,,,,,,,
2324,30,37.64706039,23.13725471,,,,,,,,
2217,30,46.27450943,15.29411793,,,,,,,,
2044.5,30,19.2156868,15.68627453,,,,,,,,
1912.5,30,18.4313736,15.29411793,,,,,,,,
1835,30,18.8235302,15.29411793,,,,,,,,
1778.75,30,18.8235302,15.29411793,,,,,,,,
1718.75,30,19.2156868,15.29411793,,,,,,,,
1657,30,19.6078434,15.29411793,,,,,,,,
1598.25,31,19.6078434,15.29411793,,,,,,,,
1582,31,21.17647171,15.29411793,,,,,,,,
2060.75,31,69.41176605,24.70588303,,,,,,,,
1680.25,31,22.74509811,15.68627453,,,,,,,,
1532.75,31,20.7843132,15.29411793,,,,,,,,
2463.25,31,87.05882263,30.19607925,,,,,,,,
2144.5,31,90.58823395,17.64705849,,,,,,,,
2461.5,31,91.76470947,32.15686417,,,,,,,,
2213.25,30,81.5686264,27.05882454,,,,,,,,
2343.75,30,71.76470947,16.07843208,,,,,,,,
1673.25,30,25.49019623,16.47058868,,,,,,,,
2131.25,30,72.94117737,25.49019623,,,,,,,,
2110.75,30,36.47058868,16.86274529,,,,,,,,
1540.5,30,26.66666794,15.29411793,,,,,,,,
2492.75,30,85.88235474,30.58823586,,,,,,,,
2529.5,30,87.84313965,30.98039246,,,,,,,,
2153.75,30,70.58823395,30.58823586,,,,,,,,
2254.5,30,87.84313965,18.03921509,,,,,,,,
2463.25,30,51.76470566,15.29411793,,,,,,,,
1828.75,30,20.3921566,15.29411793,,,,,,,,
1753,30,19.2156868,15.29411793,,,,,,,,
2156.25,30,35.29411697,20.7843132,,,,,,,,
2254.5,30,73.33333588,23.92156982,,,,,,,,
2092,30,97.64706421,38.82352829,,,,,,,,
2137.5,30,96.86274719,39.2156868,,,,,,,,
2191.25,30,96.47058868,38.03921509,,,,,,,,
2503,30,94.90196228,35.68627548,,,,,,,,
2668.75,30,96.86274719,40,,,,,,,,
2091.25,30,25.49019623,16.47058868,,,,,,,,
1784.25,30,24.31372643,16.07843208,,,,,,,,
2356.25,30,60,23.13725471,,,,,,,,
2230.25,30,80.39215851,25.49019623,,,,,,,,
2046.75,30,25.49019623,16.47058868,,,,,,,,
2258.5,30,32.94117737,20.7843132,,,,,,,,
2203.75,30,70.58823395,26.27450943,,,,,,,,
2243.75,30,81.17647552,26.27450943,,,,,,,,
1997.5,30,21.17647171,20.7843132,,,,,,,,
2260,30,56.86274719,20.7843132,,,,,,,,
2479.5,30,83.13725281,27.05882454,,,,,,,,
2350.75,31,21.96078491,24.31372643,,,,,,,,
2475,31,80.39215851,31.37254906,,,,,,,,
2728.75,31,96.07843018,38.4313736,,,,,,,,
2721,30,94.11764526,35.68627548,,,,,,,,
2052.25,30,18.8235302,15.68627453,,,,,,,,
1973.25,30,18.4313736,15.29411793,,,,,,,,
1885.75,31,18.4313736,15.29411793,,,,,,,,
1817,31,18.8235302,15.29411793,,,,,,,,
2337.5,31,78.4313736,26.27450943,,,,,,,,
2098.25,31,90.98039246,30.58823586,,,,,,,,
2126.5,31,94.11764526,31.76470566,,,,,,,,
2143.75,31,94.50980377,32.54901886,,,,,,,,
2169.5,31,94.11764526,32.15686417,,,,,,,,
1964.75,31,26.27450943,16.47058868,,,,,,,,
1396,31,27.05882454,16.07843208,,,,,,,,
